timestamp,created_at_ecg,context_ecg,ecg,created_at_heart_rate,context_heart_rate,heart_rate,created_at_spo2,context_spo2,spo2,created_at_temperature,context_temperature,temperature,date (Asia/Karachi)
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},20.1875,2025-02-08 14:15:34.075000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},20.375,2025-02-08 14:15:18.317000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},20.6875,2025-02-08 14:15:04.488000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},21,2025-02-08 14:14:48.511000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},21.3125,2025-02-08 14:14:32.429000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},21.75,2025-02-08 14:14:16.357000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},22.25,2025-02-08 14:14:00.387000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},22.75,2025-02-08 14:13:44.420000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},23.4375,2025-02-08 14:13:28.332000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},24.1875,2025-02-08 14:13:12.263000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},25.1875,2025-02-08 14:12:56.303000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},26.375,2025-02-08 14:12:40.302000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},28.0625,2025-02-08 14:12:24.243000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},30.625,2025-02-08 14:12:08.154000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},94.91804504,1.73901E+12,{},94,1.73901E+12,{},36.875,2025-02-08 14:11:52.189000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},64.02861023,1.73901E+12,{},94,1.73901E+12,{},44.5625,2025-02-08 14:11:36.200000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},37.54768753,1.73901E+12,{},94,1.73901E+12,{},37.5625,2025-02-08 14:11:20.169000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},25.4375,2025-02-08 14:11:03.848000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},20.40399933,1.73901E+12,{},0,1.73901E+12,{},27.9375,2025-02-08 14:10:57.735000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},89.80106354,1.73901E+12,{},94,1.73901E+12,{},35.375,2025-02-08 14:10:31.907000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},48.002388,1.73901E+12,{},95,1.73901E+12,{},37.125,2025-02-08 14:10:15.933000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},45.82178497,1.73901E+12,{},94,1.73901E+12,{},31.875,2025-02-08 14:09:59.953000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},14.11831093,1.73901E+12,{},0,1.73901E+12,{},39.125,2025-02-08 14:09:47.064000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},44,2025-02-08 14:09:27.803000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},27.4375,2025-02-08 14:09:11.822000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},21.875,2025-02-08 14:08:55.652000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},22.375,2025-02-08 14:08:39.669000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},22.9375,2025-02-08 14:08:23.691000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},23.6875,2025-02-08 14:08:07.511000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},24.5625,2025-02-08 14:07:51.701000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},25.8125,2025-02-08 14:07:35.456000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},27.4375,2025-02-08 14:07:19.390000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},29.8125,2025-02-08 14:07:03.407000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},33,2025-02-08 14:06:47.336000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},82.78786469,1.73901E+12,{},93,1.73901E+12,{},39.5625,2025-02-08 14:06:31.353000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},83.03442383,1.73901E+12,{},94,1.73901E+12,{},29.75,2025-02-08 14:06:15.316000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},14.63018417,1.73901E+12,{},0,1.73901E+12,{},32.75,2025-02-08 14:05:59.308000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},37.1875,2025-02-08 14:05:44.044000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},46.1875,2025-02-08 14:05:27.153000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},51.375,2025-02-08 14:05:11.183000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},51.4375,2025-02-08 14:04:55.201000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},107.6217957,1.73901E+12,{},94,1.73901E+12,{},51.25,2025-02-08 14:04:39.243000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},50.125,2025-02-08 14:04:23.059000+05:00
1.73901E+12,1.73901E+12,{},1024,1.73901E+12,{},0,1.73901E+12,{},0,1.73901E+12,{},44.3125,2025-02-08 14:04:07.106000+05:00
